Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,car_age
549.0,0.39746166303227065,34.0,312.0,1.172443462329288,9.0,1.0,5.0,-0.35660680212116264,0.6107184577581108,-0.4999741612621652,0.0,1.0,1.0,0.0,14.0,1.250526105287799,4.0
41281.0,-0.6993645923432081,51.0,201.0,-2.4794759097404717,4.0,1.0,1.0,-0.8292596647296864,-2.1568760356237084,-0.4999741612621652,0.0,1.0,1.0,0.0,2.0,-0.604607764029784,38.0
15681.0,0.4479952163401878,34.0,831.0,-0.22387865052091407,4.0,1.0,4.0,1.415841432660802,0.6107184577581108,1.241648209211287,2.0,0.0,1.0,0.0,12.0,1.250526105287799,17.0
36899.0,-0.37917307679881374,22.0,697.0,-2.1572477298519632,7.0,1.0,1.0,0.23420927613949222,-2.1272796861046035,-0.4999741612621652,0.0,1.0,1.0,0.0,12.0,-0.604607764029784,35.0
15289.0,0.022769463990958007,22.0,675.0,-0.3312880438170835,1.0,1.0,5.0,-0.35660680212116264,0.6107184577581108,-0.4999741612621652,0.0,1.0,1.0,0.0,11.0,-0.604607764029784,18.0
8467.0,-1.3193098671206527,22.0,1125.0,0.8502152824407799,9.0,1.0,4.0,-0.35660680212116264,0.6107184577581108,-0.4999741612621652,0.0,1.0,1.0,0.0,8.0,-0.604607764029784,7.0
14426.0,0.4479952163401878,30.0,1047.0,-0.22387865052091407,4.0,1.0,2.0,1.415841432660802,-1.850275252935304,1.241648209211287,0.0,0.0,1.0,0.0,7.0,-1.5321746986885756,17.0
13000.0,0.4479952163401878,34.0,507.0,-0.009059863928575282,9.0,1.0,5.0,3.1882896674427665,0.6107184577581108,2.9832705796847394,2.0,2.0,1.0,0.0,1.0,1.250526105287799,15.0
25810.0,-0.9241799117679957,22.0,1099.0,-0.9757444035940999,4.0,1.0,1.0,-0.12028037081690049,-1.0936142263494006,-0.4999741612621652,0.0,1.0,1.0,0.0,1.0,-0.604607764029784,24.0
37006.0,0.4479952163401878,4.0,65.0,-1.9424289432596245,9.0,1.0,1.0,-0.35660680212116264,-0.9196309311430793,-0.4999741612621652,2.0,2.0,1.0,0.0,2.0,0.32295917062900753,33.0
7213.0,0.4479952163401878,34.0,278.0,0.8502152824407799,10.0,0.0,5.0,0.5886989230958849,0.6107184577581108,1.241648209211287,0.0,2.0,1.0,0.0,12.0,0.32295917062900753,7.0
12544.0,0.6495273242055173,40.0,223.0,0.20575892266376353,10.0,0.0,5.0,-1.0655860960339485,0.6107184577581108,-0.4999741612621652,1.0,1.0,1.0,0.0,12.0,0.09106743696430963,13.0
4701.0,0.4479952163401878,27.0,1146.0,0.8502152824407799,4.0,1.0,1.0,-0.35660680212116264,0.6107184577581108,-0.4999741612621652,0.0,1.0,1.0,0.0,12.0,-0.604607764029784,7.0
21326.0,0.9697188397499117,58.0,1319.0,-0.7609256170017611,4.0,1.0,5.0,1.0613517857044092,0.6107184577581108,1.241648209211287,2.0,0.0,1.0,0.0,14.0,0.7867426379584033,22.0
100.0,0.4479952163401878,34.0,831.0,1.172443462329288,4.0,1.0,5.0,1.415841432660802,0.6107184577581108,1.241648209211287,0.0,0.0,1.0,0.0,12.0,0.32295917062900753,4.0
30.0,0.4479952163401878,39.0,1188.0,-0.5461068304094223,3.0,0.0,5.0,-0.5929332334254245,-2.224505645190489,-0.4999741612621652,0.0,1.0,1.0,1.0,0.0,-0.604607764029784,20.0
4861.0,-0.9241799117679957,54.0,418.0,1.0650340690331188,9.0,1.0,5.0,-0.5929332334254245,-0.8178634963367347,-0.4999741612621652,0.0,1.0,1.0,0.0,14.0,1.250526105287799,5.0
706.0,0.4479952163401878,54.0,93.0,0.9576246757369493,4.0,1.0,5.0,0.11604606048736113,0.6107184577581108,-0.4999741612621652,0.0,1.0,1.0,0.0,12.0,1.250526105287799,6.0
200.0,0.4479952163401878,54.0,791.0,1.2798528556254576,4.0,1.0,1.0,2.242983942225719,0.6107184577581108,2.9832705796847394,1.0,0.0,1.0,0.0,12.0,-1.0683912313591797,3.0
6272.0,0.4479952163401878,34.0,319.0,0.5279871025522718,1.0,0.0,5.0,-0.00211715516476994,0.6107184577581108,-0.4999741612621652,1.0,2.0,0.0,0.0,1.0,-1.0683912313591797,10.0
15681.0,0.39746166303227065,22.0,1125.0,-0.11646925722474469,9.0,1.0,4.0,-0.35660680212116264,0.6107184577581108,-0.4999741612621652,0.0,1.0,1.0,0.0,12.0,-0.604607764029784,16.0
8781.0,-0.4881744437926501,54.0,973.0,0.5279871025522718,3.0,0.0,2.0,-0.5929332334254245,0.6107184577581108,-0.4999741612621652,0.0,1.0,1.0,0.0,1.0,1.250526105287799,10.0
