ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,car_age
45813960.0,549.0,891.0,MERCEDES-BENZ,CLA 250,2021.0,Sedan,Yes,Petrol,2.0,443250.0,4.0,Automatic,Front,4,Left wheel,White,12.0,4.0
45730073.0,41281.0,730.0,SSANGYONG,Actyon,1987.0,Jeep,Yes,Diesel,1.6,10573.0,4.0,Automatic,Front,4,Left wheel,Blue,4.0,38.0
45787895.0,15681.0,898.417676266137,MERCEDES-BENZ,ML 350,2008.0,Jeep,Yes,LPG,3.5,443250.0,6.0,Tiptronic,4x4,4,Left wheel,Silver,12.0,17.0
45731438.0,36899.0,777.0,HYUNDAI,H1,1990.0,Minivan,Yes,Diesel,2.5,15200.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,35.0
45797083.0,15289.0,836.0,HYUNDAI,Genesis,2007.0,Coupe,Yes,Petrol,2.0,443250.0,4.0,Automatic,Front,4,Left wheel,Red,4.0,18.0
45733076.0,8467.0,639.0,HYUNDAI,Sonata,2018.0,Sedan,Yes,LPG,2.0,443250.0,4.0,Automatic,Front,4,Left wheel,Orange,4.0,7.0
45811124.0,14426.0,898.417676266137,LEXUS,RX 450,2008.0,Jeep,Yes,Hybrid,3.5,58506.0,6.0,Automatic,4x4,4,Left wheel,Grey,0.0,17.0
45806021.0,13000.0,898.417676266137,MERCEDES-BENZ,E 500,2010.0,Sedan,Yes,Petrol,5.0,443250.0,8.0,Tiptronic,Rear,4,Left wheel,Black,12.0,15.0
45802797.0,25810.0,697.0,HYUNDAI,Santa FE,2001.0,Jeep,Yes,Diesel,2.2,176800.0,4.0,Automatic,Front,4,Left wheel,Black,4.0,24.0
45656196.0,37006.0,898.417676266137,BMW,320 Diesel,1992.0,Sedan,Yes,Diesel,2.0,204000.0,4.0,Tiptronic,Rear,4,Left wheel,Blue,8.0,33.0
45789646.0,7213.0,898.417676266137,MERCEDES-BENZ,C 280,2018.0,Universal,No,Petrol,2.8,443250.0,6.0,Automatic,Rear,4,Left wheel,Silver,8.0,7.0
45786743.0,12544.0,928.0,OPEL,Astra,2012.0,Universal,No,Petrol,1.4,443250.0,4.0,Manual,Front,4,Left wheel,Silver,7.0,13.0
45789981.0,4701.0,898.417676266137,KIA,Sportage,2018.0,Jeep,Yes,Diesel,2.0,443250.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,7.0
45290545.0,21326.0,975.0,VOLVO,XC90 3.2 AWD,2003.0,Jeep,Yes,Petrol,3.2,443250.0,6.0,Tiptronic,4x4,4,Left wheel,White,10.0,22.0
45769662.0,100.0,898.417676266137,MERCEDES-BENZ,ML 350,2021.0,Jeep,Yes,Petrol,3.5,443250.0,6.0,Automatic,4x4,4,Left wheel,Silver,8.0,4.0
45748586.0,30.0,898.417676266137,NISSAN,Tiida,2005.0,Hatchback,No,Petrol,1.8,0.0,4.0,Automatic,Front,4,Right-hand drive,Beige,4.0,20.0
45809301.0,4861.0,697.0,TOYOTA,Corolla,2020.0,Sedan,Yes,Petrol,1.8,219910.0,4.0,Automatic,Front,4,Left wheel,White,12.0,5.0
45772945.0,706.0,898.417676266137,TOYOTA,4Runner,2019.0,Jeep,Yes,Petrol,2.4,443250.0,4.0,Automatic,Front,4,Left wheel,Silver,12.0,6.0
45798376.0,200.0,898.417676266137,TOYOTA,Land Cruiser 105,2022.0,Jeep,Yes,Diesel,4.2,443250.0,8.0,Manual,4x4,4,Left wheel,Silver,2.0,3.0
45794164.0,6272.0,898.417676266137,MERCEDES-BENZ,CLK 230,2015.0,Coupe,No,Petrol,2.3,443250.0,4.0,Manual,Rear,2,Left wheel,Black,2.0,10.0
45732698.0,15681.0,891.0,HYUNDAI,Sonata,2009.0,Sedan,Yes,LPG,2.0,443250.0,4.0,Automatic,Front,4,Left wheel,Silver,4.0,16.0
45789080.0,8781.0,761.0,TOYOTA,Prius,2015.0,Hatchback,No,Hybrid,1.8,443250.0,4.0,Automatic,Front,4,Left wheel,Black,12.0,10.0
43009722.0,19444.0,697.0,TOYOTA,Corolla LE,2000.0,Sedan,No,Petrol,1.8,266500.0,4.0,Automatic,Front,4,Left wheel,White,6.0,25.0
